region,code,election,label,votes,prop
경기 화성시을,2425,2018_loc_gov,보수,0,0
경기 고양시을,2421,2018_loc_gov,진보,0,0
경기 부천시을,2422,2018_loc_gov,진보,0,0
경기 수원시을,2423,2018_loc_gov,진보,0,0
경기 평택시을,2424,2018_loc_gov,진보,0,0
경기 화성시을,2425,2018_loc_gov,진보,0,0
경기 고양시을,2421,2018_loc_gov,기타,3975,100
경기 부천시을,2422,2018_loc_gov,기타,6925,100
경기 수원시을,2423,2018_loc_gov,기타,4835,100
경기 평택시을,2424,2018_loc_gov,기타,2563,100
경기 화성시을,2425,2018_loc_gov,기타,2219,100
경기 고양시을,2421,2020_na_pro,민주,43459,40.011600500847024
경기 부천시을,2422,2020_na_pro,민주,55764,42.58354206121327
경기 수원시을,2423,2020_na_pro,민주,50885,42.344883829305644
경기 평택시을,2424,2020_na_pro,민주,22263,36.728532541450136
경기 화성시을,2425,2020_na_pro,민주,35628,45.578170374445115
경기 고양시을,2421,2020_na_pro,보수,31237,28.759114679236948
경기 부천시을,2422,2020_na_pro,보수,39675,30.29736086504979
경기 수원시을,2423,2020_na_pro,보수,35809,29.79911457293123
경기 평택시을,2424,2020_na_pro,보수,22316,36.81596964447744
경기 화성시을,2425,2020_na_pro,보수,18810,24.06324757896353
경기 고양시을,2421,2020_na_pro,진보,17715,16.309751786108862
경기 부천시을,2422,2020_na_pro,진보,15297,11.68137943674018
경기 수원시을,2423,2020_na_pro,진보,14443,12.019006723919844
경기 평택시을,2424,2020_na_pro,진보,6746,11.12925843438093
경기 화성시을,2425,2020_na_pro,진보,10061,12.870831147897505
경기 고양시을,2421,2020_na_pro,기타,16205,14.919533033807175
경기 부천시을,2422,2020_na_pro,기타,20216,15.437717636996762
경기 수원시을,2423,2020_na_pro,기타,19031,15.836994873843285
경기 평택시을,2424,2020_na_pro,기타,9290,15.326239379691495
경기 화성시을,2425,2020_na_pro,기타,13670,17.487750898693854
경기 고양시을,2421,2022_president,민주,78806,52.70493503
경기 부천시을,2422,2022_president,민주,79850,51.62804531112606
경기 수원시을,2423,2022_president,민주,74768,53.56526224540238
경기 평택시을,2424,2022_president,민주,44558,50.55079698224516
경기 화성시을,2425,2022_president,민주,57259,53.23199925626365
경기 고양시을,2421,2022_president,보수,65746,43.97049283
경기 부천시을,2422,2022_president,보수,70511,45.58979465163193
경기 수원시을,2423,2022_president,보수,60953,43.667925177134755
경기 평택시을,2424,2022_president,보수,41276,46.82738669238187
경기 화성시을,2425,2022_president,보수,47369,44.03755868544601
경기 고양시을,2421,2022_president,진보,4853,3.2456545146900475
경기 부천시을,2422,2022_president,진보,4175,2.699399989654994
경기 수원시을,2423,2022_president,진보,3715,2.661498893131685
경기 평택시을,2424,2022_president,진보,2225,2.5242498156446764
경기 화성시을,2425,2022_president,진보,2890,2.686747547994236
경기 고양시을,2421,2022_president,기타,118,0.078917625
경기 부천시을,2422,2022_president,기타,128,0.082760048
경기 수원시을,2423,2022_president,기타,147,0.10531368433118647
경기 평택시을,2424,2022_president,기타,86,0.09756651
경기 화성시을,2425,2022_president,기타,47,0.04369451
경기 고양시을,2421,2022_loc_pro,민주,45488,45.70004822375824
경기 부천시을,2422,2022_loc_pro,민주,48060,47.44698495438929
경기 수원시을,2423,2022_loc_pro,민주,45030,47.91241062308478
경기 평택시을,2424,2022_loc_pro,민주,22632,42.75109087818055
경기 화성시을,2425,2022_loc_pro,민주,34055,49.893780675408394
경기 고양시을,2421,2022_loc_pro,보수,46708,46.92573541231314
경기 부천시을,2422,2022_loc_pro,보수,47853,47.24262528136477
