시/도,지역구,지역구코드,행정동,행정동코드,전체 유권자,청년층(18~39세),중년층(40~59세),고령층(65세 이상),청년 남성,청년 여성,2030 1인가구,유동인구,20대 남성,20대 여성,30대 남성,30대 여성,40대 남성,40대 여성,50대 남성,50대 여성,60대 남성,60대 여성,70대 이상 남성,70대 이상 여성
경기,수원시을,2423,호매실동,4111366400,"34,973","11,471","15,358","5,375","5,654","5,817","1,230",555,2462,2433,3192,"3,384",4637,"4,408",3083,"3,230",2454,"2,580","1,294","1,816"
경기,수원시을,2423,입북동,4111370000,"16,665","6,459","6,068","2,797","3,327","3,132","1,040",323,1255,1277,2072,"1,855",1440,"1,408",1603,"1,617",1254,"1,242",742,900
경기,평택시을,2424,팽성읍,4122025000,"24,531","5,888","8,499","7,527","3,334","2,554","1,882",638,1597,1287,1737,"1,267",1966,"1,544",2783,"2,206",2724,"2,395","2,028","2,997"
경기,평택시을,2424,안중읍,4122025300,"36,481","11,530","15,801","6,141","6,463","5,067","2,538",1021,3492,2941,2971,"2,126",3681,"3,439",4631,"4,050",2769,"2,462","1,596","2,323"
경기,평택시을,2424,포승읍,4122025600,"20,162","6,383","8,128","3,808","4,354","2,029","3,051",666,2011,1033,2343,996,2587,"1,268",2835,"1,438",1896,"1,363","1,079","1,313"
경기,평택시을,2424,청북읍,4122025900,"20,680","6,199","9,681","3,374","3,446","2,753","1,427",561,1568,1226,1878,"1,527",3204,"2,606",2274,"1,597",1422,"1,253",956,"1,169"
경기,평택시을,2424,고덕면,4122033000,"11,467","3,885","4,055","2,424","2,340","1,545","1,183",182,976,716,1364,829,1078,728,1166,"1,083",1004,948,703,872
경기,평택시을,2424,오성면,4122034000,"5,640","1,069","1,849","1,984",638,431,192,219,323,243,315,188,401,287,675,486,768,626,535,793
경기,평택시을,2424,현덕면,4122037000,"5,167",937,"1,601","1,991",544,393,149,1365,270,200,274,193,397,254,549,401,648,540,626,815
경기,평택시을,2424,고덕동,4122066000,"45,940","25,013","16,955","2,345","13,508","11,505","6,747",11757,4219,3558,9289,"7,947",6330,"4,947",2880,"2,798",1341,"1,349",560,722
경기,화성시을,2425,동탄4동,4159058800,"38,153","12,938","20,913","2,422","6,172","6,766",730,757,3089,3010,3083,"3,756",6304,"6,783",4200,"3,626",1604,"1,399",589,710
경기,화성시을,2425,동탄6동,4159060000,"36,554","16,799","15,461","2,581","8,541","8,258","5,833",2364,3779,3962,4762,"4,296",4667,"4,395",3335,"3,064",1484,"1,374",647,789
경기,화성시을,2425,동탄7동,4159061000,"43,782","17,212","20,146","3,896","8,577","8,635","3,625",1073,3272,3313,5305,"5,322",6484,"6,297",3687,"3,678",2110,"2,218",946,"1,150"
경기,화성시을,2425,동탄8동,4159062000,"27,392","10,988","12,749","2,318","5,244","5,744","1,550",706,1515,1659,3729,"4,085",4743,"4,183",1939,"1,884",1154,"1,284",543,674
경기,화성시을,2425,동탄9동,4159063000,"39,110","17,215","16,962","3,010","8,612","8,603","3,437",9691,3014,2913,5598,"5,690",5753,"5,446",2879,"2,884",1680,"1,702",694,857
